feature_id,screen,subtab,mode,displayed_fields,action,code_path,symbol,classification,approval_basis,test_ids,status,notes
DASH-08,Dashboard,,both,'감시 목록' up to 5 items / empty state,'관리' and '+N건 더 보기' -> ReportManagementScreen(initialTabIndex 1),lib/screens/dashboard_screen.dart:538,_buildWatchlistSection,existing,code,,code-verified,
DASH-09,Dashboard,,both,watch item: bookmark/name/status chip/신고번호/신고일/답변일/처리기관/담당자/과태료·범칙금/차량번호,tap -> showReportDetailSheet,lib/screens/dashboard_screen.dart:613,_buildWatchItem,existing,code,,code-verified,
DASH-10,Dashboard,,both,'최근 답변 완료 (3일)' 5 preview cards (same fields),'모두 보기' / '+N건 더 보기' -> RecentAnswersScreen; card tap -> detail sheet,lib/screens/dashboard_screen.dart:667,_buildRecentSection/_buildRecentCard,existing,code,,code-verified,
DASH-11,Dashboard,,both,embedded SunwiSection,see SUNWI rows,lib/screens/dashboard_screen.dart:174,SunwiSection(embedded:true),existing,code,,code-verified,
SUNWI-01,Dashboard (SunwiSection),,both,header '신고현황',refresh icon -> _load(force:true),lib/screens/sunwi_screen.dart:292,IconButton,existing,code,,code-verified,
SUNWI-02,Dashboard (SunwiSection),,both,'전국 안전신문고 통계' chips 전일기준/updatedAt/실패 지역/periodLabel; status msg; payload.error,none,lib/screens/sunwi_screen.dart:370,_buildInfoCard,existing,code,,code-verified,전국 수치: 내 신고 통계와 섞지 않음
SUNWI-03,Dashboard (SunwiSection),,both,대분류/소분류 navigators; fullName; rank rows (N위 badge/region/count건),prev/next chevrons; auto-advance every 5s,lib/screens/sunwi_screen.dart:444,_buildCategoryCard/_buildNavigator/_buildRankItem,existing,code,,code-verified,
SUNWI-04,Dashboard (SunwiSection),,both,n/a,data via SunwiRepository.fromProvider (standalone vs server); 3h cache per AppMode; reload on sunwiRefreshNonce,lib/screens/sunwi_screen.dart:101,_load,existing,code,,code-verified,lib/services/repositories/sunwi_repository.dart:24
SUNWI-05,Dashboard (SunwiSection),,both,loading/empty/error card,'다시 시도' -> _load(force),lib/screens/sunwi_screen.dart:336,_buildEmptyOrErrorState,existing,code,,code-verified,
SUNWI-06,SunwiScreen,,both,AppBar '신고현황' + pull-to-refresh,none reachable,lib/screens/sunwi_screen.dart:11,SunwiScreen,existing,code,,code-verified,orphan wrapper: 인스턴스화하는 곳 없음 (grep 확인). 리뉴얼 대상에서 제외 가능
LIST-01,ReportList,,both,AppBar '신고 내역'; TabBar 교통위반/주정차/기타위반/중복차량,swipe/tap tabs,lib/screens/report_list_screen.dart:206,TabBar,existing,code,,code-verified,SrTabBar 로 교체(탭 수·순서·스와이프 동일)
LIST-02,ReportList,,both,count pill 'N건' or '검색 N건' when hasFilter,none,lib/screens/report_list_screen.dart:158,AppBar actions,existing,code,,code-verified,
LIST-03,ReportList,,both,filter_list icon with dot badge when hasFilter,tap -> SearchFilterSheet bottom sheet,lib/screens/report_list_screen.dart:189,_showSearchPopup,existing,code,,code-verified,no separate search icon and no sort control
LIST-04,ReportList,,both,settings icon,tap -> SettingsScreen,lib/screens/report_list_screen.dart:197,IconButton,existing,code,,code-verified,
LIST-05,ReportList,,both,active filter chips (provider.filter.activeLabels),none (display only; horizontal scroll),lib/screens/report_list_screen.dart:224,Chip row,existing,code,,code-verified,
LIST-06,ReportList,교통위반/주정차/기타위반,both,ReportListCard list,pull-to-refresh -> fetchTrafficReports/fetchParkingReports/fetchOtherReports,lib/screens/report_list_screen.dart:366,_buildTab,existing,code,,code-verified,
LIST-07,ReportList,all,both,empty '신고 내역이 없습니다'/'검색 결과가 없습니다'; error '데이터를 불러오지 못했습니다',error '다시 시도' -> onRefresh,lib/screens/report_list_screen.dart:304,_buildTab,existing,code,,code-verified,
LIST-08,ReportList,all,both,card,tap -> showReportDetailSheet; long-press -> start selection; tap in selection -> toggle,lib/screens/report_list_screen.dart:474,_buildReportCard,existing,code,,code-verified,
LIST-09,ReportList,all,both,selection AppBar close/'N개 선택됨'/'일괄 선택',일괄 선택 -> _selectAllCurrentTab (disabled on 중복차량 or all selected),lib/screens/report_list_screen.dart:132,_canSelectAllCurrentTab,existing,code,,code-verified,"2026-09-24 사용자 결정으로 변경: 선택 모드 뒤로가기 = 선택 취소(SelectionBackScope, 숨은 탭은 TickerMode 로 제외), X 버튼 tooltip '선택 취소'. 이전 동작은 앱 나감. test/widgets/selection_back_scope_test.dart"
LIST-10,ReportList,all,both,SelectionActionBar at bottom,see SEL rows,lib/screens/report_list_screen.dart:280,SelectionActionBar,existing,code,,code-verified,
LIST-11,ReportList,중복차량,both,card + suffix 'valid/total회' (excludeWithdraw & differ) else 'total회' + location,tap detail; long-press select; pull-to-refresh fetchDuplicateReports,lib/screens/report_list_screen.dart:417,_buildDuplicateCard,existing,code,,code-verified,선택 목록은 traffic/parking/other 필터 목록에서만 구성(:122-129) → 중복차량 탭 선택이 필터에 걸린 경우 누락 가능 (미검증 버그 후보)
LIST-12,ReportList,all,both,meta: 신고/답변/처리기관/담당자/과태료/위반장소/발생 date+time,none,lib/screens/report_list_screen.dart:497,_buildMetaItems,existing,code,,code-verified,
CARD-01,ReportListCard (widget),,both,selection radio; name; status chip; headerSuffix; #신고번호; '보완횟수:N회' badge; '보완 요청자'; meta rows; car number chip,onTap/onLongPress passthrough,lib/widgets/report_list_card.dart:38,ReportListCard.build,existing,code,test/widgets/report_list_card_test.dart; test/golden/renewal_golden_test.dart,code-verified,"2026-09-24 개편: 신고명 2줄, 상태 StatusBadge(AA 보정), 차량번호 칩 행 40% 상한+말줄임 → 360dp x1.0/1.3/2.0 overflow 0 (test/widgets/report_list_card_test.dart). 표시 필드·콜백 동일"
CARD-02,ReportListCard (widget),,both,selected: primary 2px border + primaryContainer 30%; else border grey.shade200,none,lib/widgets/report_list_card.dart:50,Card shape,existing,code,,code-verified,"선택 시 primary 2px 테두리 + brandSoft 배경, 평소 토큰 border"
FSHEET-01,SearchFilterSheet,,both,"'상세 검색' + guide '&' AND / ',' OR",'전체 초기화' -> provider.clearFilter,lib/widgets/search_filter_sheet.dart:288,_clear,existing,code,,code-verified,
FSHEET-02,SearchFilterSheet,,both,신고명/신고번호/별점(multi)/별점사유/만족도 조사 여부/차량번호/위반장소/위반법규(single)/신고내용,edit fields and dropdowns,lib/widgets/search_filter_sheet.dart:311,_input/_multiSelectDropdown/_singleSelectDropdown,existing,code,,code-verified,별점/별점사유/만족도 hidden in ratingManagementMode (:316)
FSHEET-03,SearchFilterSheet,,both,처리기관/담당자/과태료·범칙금/보완횟수/처리내용/처리상태(multi); toggles 경찰기관 제외 / 경찰기관만 (exclusive),edit + toggle chips,lib/widgets/search_filter_sheet.dart:361,_toggleChip,existing,code,,code-verified,
FSHEET-04,SearchFilterSheet,,both,date ranges 신고일/발생일/답변일; 발생시각 HH:MM ~ HH:MM,showDatePicker; submit on end-time field -> apply,lib/widgets/search_filter_sheet.dart:418,_dateRange,existing,code,,code-verified,
FSHEET-05,SearchFilterSheet,,both,'검색 적용' button,-> provider.setFilter(ReportFilter...) (rating fields cleared in ratingManagementMode),lib/widgets/search_filter_sheet.dart:500,_apply,existing,code,,code-verified,
SEL-01,SelectionActionBar (widget),,both,close / 'N개 선택됨' / busy spinner,close -> onCancel,lib/widgets/selection_action_bar.dart:286,build,existing,code,,code-verified,
SEL-02,SelectionActionBar (widget),,both,'번호 복사',copy report numbers (newline) to clipboard + snack,lib/widgets/selection_action_bar.dart:313,_copyNumbers,existing,code,,code-verified,
SEL-03,SelectionActionBar (widget),,client,'크롤링',-> provider.startCrawlQueue (api.startCrawl queueList),lib/widgets/selection_action_bar.dart:318,_crawl,existing,code,,code-verified,provider lib/providers/report_provider.dart:1121
SEL-04,SelectionActionBar (widget),,standalone,'동기화',-> StandalonePendingQueueStore.append + StandaloneAutoSyncService.drainIfPending -> refreshAll,lib/widgets/selection_action_bar.dart:327,_sync,existing,code,test/services/standalone_pending_queue_store_test.dart,code-verified,UI 에서 데모 모드 차단 여부 미검증
SEL-05,SelectionActionBar (widget),,both,'별점 주기' dialog with 1-5점 ChoiceChips + 진행 가능/자동 스킵 counts,confirm -> fire-and-forget submitRatings -> history.addRatingBatchResult (subtab 2) + native showNotification + SnackBar,lib/widgets/selection_action_bar.dart:112,_rate/_showRatingDialog,existing,code,test/services/rating_service_test.dart,code-verified,RatingService.submit branches on appMode + isStandaloneDemo (provider:1140). 테스트에서 실제 별점 API 호출 금지
SEL-06,SelectionActionBar (widget),,both,'감시 추가' (unless all watched) / '감시 해제' (unless none watched),-> provider.addToWatchlist / removeFromWatchlist,lib/widgets/selection_action_bar.dart:344,_watchlistAction,existing,code,,code-verified,standalone LocalDb vs client api.updateWatchlist (provider:1069)
SEARCH-01,SearchScreen,,both,'검색'; '초기화'; tune icon; FAB '검색'; '검색 결과: N건'; cards; selection bar,open SearchFilterSheet; clearFilter; tap/long-press cards,lib/screens/search_screen.dart:74,SearchScreen,existing,code,,code-verified,orphan: 진입 경로 없음 (grep 확인). 리뉴얼 대상 제외 가능
FILT-01,FilteredListScreen,,both,title + 'N건'; cards 신고/답변/처리기관/담당자/과태료,tap detail; long-press selection + SelectionActionBar,lib/screens/filtered_list_screen.dart:67,FilteredListScreen,existing,code,,code-verified,uses raw category lists + predicate and ignores the search filter
RECENT-01,RecentAnswersScreen,,both,'최근 답변 완료 (3일) (N)'; cards status/신고번호/신고일/답변일/처리기관/담당자/과태료/차량번호,init + pull-to-refresh refreshSummaryAndRecentAnswers; tap -> detail,lib/screens/recent_answers_screen.dart:28,RecentAnswersScreen/_RecentCard,existing,code,,code-verified,refresh only when list non-empty
MGMT-01,ReportManagement,,both,AppBar '신고관리'; tabs 별점/감시 목록/중복 신고/데이터 수정,tab switch; initialTabIndex clamp 0-3,lib/screens/report_management_screen.dart:40,TabBar,existing,code,test/report_navigation_regression_test.dart,code-verified,"SrTabBar(알약형, 테마 색) — 회귀 테스트는 고정 색 대신 실제 렌더 대비(AA)·선택 구분·탭 이동을 라이트/다크 검사"
RATE-01,ReportManagement,별점,both,'별점 가능 신고' + count + '참여 가능 상태의 신고건만 표시됩니다.',filter icon -> SearchFilterSheet(ratingManagementMode:true),lib/screens/rating_management_panel.dart:128,_showSearchPopup,existing,code,,code-verified,BUG :138 '검색 $reports.length건' 문자열 보간 오류 (확인됨)
RATE-02,ReportManagement,별점,both,cards with category chip 교통/주정차/기타 + meta incl pollStatus/location,tap detail; long-press select; '일괄 선택'; '선택 해제'; SelectionActionBar,lib/screens/rating_management_panel.dart:330,_buildReportCard,existing,code,test/services/rating_service_test.dart,code-verified,stale selections pruned :89; 선택 모드 뒤로가기 = 선택 취소(2026-09-24, SelectionBackScope)
RATE-03,ReportManagement,별점,both,empty/error states,pull-to-refresh / '다시 시도' -> ensureCategoryReportsLoaded(forceRefresh),lib/screens/rating_management_panel.dart:53,_refreshReports,existing,code,,code-verified,
WATCH-01,ReportManagement,감시 목록,both,'감시 목록 (N)' header,'전체 해제' -> confirm dialog -> removeFromWatchlist(all),lib/screens/watchlist_screen.dart:105,_removeAll,existing,code,,code-verified,
WATCH-02,ReportManagement,감시 목록,both,card bookmark/name/status/차량번호/신고번호/신고일/답변일/처리기관/과태료,tap detail; '감시 해제' -> confirm -> removeFromWatchlist,lib/screens/watchlist_screen.dart:244,_WatchCard/_remove,existing,code,,code-verified,loads via WatchlistRepository.fromProvider (mode branch)
WATCH-03,ReportManagement,감시 목록,both,loading/error/empty,pull-to-refresh _load; '다시 시도',lib/screens/watchlist_screen.dart:172,build,existing,code,,code-verified,
WATCH-04,WatchlistScreen,,both,AppBar '감시 목록' wrapper,none reachable,lib/screens/watchlist_screen.dart:9,WatchlistScreen,existing,code,,code-verified,orphan wrapper (grep 확인)
DUP-01,ReportManagement,중복 신고,both,status cards 전체/검토 필요/중복 확정/중복 아님 with counts,tap -> local status filter,lib/screens/duplicate_management_screen.dart:342,_StatusCard,existing,code,,code-verified,
DUP-02,ReportManagement,중복 신고,both,group card rep name/대표 신고번호 · statusWithFine/멤버 N건 · 모드/agency/status pill,tap -> _openEditor sheet,lib/screens/duplicate_management_screen.dart:455,_DuplicateGroupCard,existing,code,,code-verified,
DUP-03,ReportManagement,중복 신고,both,editor: 중복 상태 dropdown; 대표건 선정 자동/수동; 비고; 대표 후보 radios,'상세 보기' -> group sheet; open_in_new -> report sheet; '저장' -> repo.updateGroup + refreshAll + reload,lib/screens/duplicate_management_screen.dart:96,_openEditor/_saveGroup,existing,code,,code-verified,DuplicateRepository.fromProvider mode branch
DUP-04,ReportManagement,중복 신고,both,info msg (client empty / ApiFeatureUnavailable) or error,pull-to-refresh; '다시 시도',lib/screens/duplicate_management_screen.dart:45,_load,existing,code,,code-verified,구서버 404 안내 유지
EDIT-01,ReportManagement,데이터 수정,both,'데이터 수정' header; filter icon; active label chips; ChoiceChips 교통위반/주정차/기타위반; list sorted 신고번호 desc,filter -> SearchFilterSheet; chip -> category,lib/screens/data_editor_screen.dart:139,DataEditorPanel,existing,code,,code-verified,
EDIT-02,ReportManagement,데이터 수정,both,card name/status pill/category/신고번호/ID/신고일/차량번호/처리기관/담당자,tap (id non-empty) -> _EditableRecordSheet,lib/screens/data_editor_screen.dart:242,_EditableReportCard,existing,code,,code-verified,
EDIT-03,ReportManagement,데이터 수정,both,record sheet summary pills + schema.detailFields (처리상태/종결여부 dropdowns; 답변일/발생일자 date pickers; multiline 신고내용/처리내용/첨부),'저장' -> EditorRepository.saveRecord -> refreshAll + SnackBar,lib/screens/data_editor_screen.dart:474,_EditableRecordSheetState._save,existing,code,,code-verified,EditorRepository.fromProvider mode branch
EDIT-04,ReportManagement,데이터 수정,both,loading/error,pull-to-refresh / '다시 시도' -> _prepare(forceRefresh),lib/screens/data_editor_screen.dart:134,_prepare,existing,code,,code-verified,
STAT-01,Statistics,,both,AppBar '통계' + '지도' + settings,'지도' -> ReportMapScreen(initialYear _year; category all); settings -> SettingsScreen,lib/screens/statistics_screen.dart:229,AppBar actions,existing,code,,code-verified,
STAT-02,Statistics,,both,n/a,load: standalone LocalDbService.computeStats(year/law/filters) vs client ApiService.getStats(year/law); reload on statsRefreshNonce,lib/screens/statistics_screen.dart:54,_load,existing,code,,code-verified,client 요청에 dedupe 미전달은 문제 아님(S-07 해소). 연도 기준 컬럼 모드 차이는 S-08
STAT-03,Statistics,,both,year chips 전체 + availableYears (only if >1),tap -> reload,lib/screens/statistics_screen.dart:435,_NavBar year row,existing,code,,code-verified,
STAT-04,Statistics,,both,category 교통위반/주정차위반/기타위반,tap -> local switch,lib/screens/statistics_screen.dart:485,_NavBar cat row,existing,code,,code-verified,
STAT-05,Statistics,,both,type tabs 기관별/담당자별/경찰 기관/경찰 담당자/비경찰 기관/비경찰 담당자,tap -> local switch,lib/screens/statistics_screen.dart:523,_NavBar type row,existing,code,,code-verified,
STAT-06,Statistics,,both,FAB gavel (orange dot when law active),tap -> sheet '위반법규 필터' 전체/없음/laws -> reload,lib/screens/statistics_screen.dart:280,_showLawFilter,existing,code,,code-verified,
STAT-07,Statistics,,both,row: ★avg(count)/avg days/fine sum; rank circle; agency; person; '총 N건'(2026-09-24 이전 '총 처리 N건'); badges 과태료/경고·범칙금/불수용·기타/기타·미분류 % + 처리중(S-10; in_progress 있을 때만); stacked bar,none,lib/screens/statistics_screen.dart:656,_RowCard.build,existing,code,,code-verified,상세표로 보존 (statistics-spec §3.5)
STAT-08,Statistics,,both,row card,tap -> setFilter(agency/manager/law/year range) -> push ReportListScreen(tab by category),lib/screens/statistics_screen.dart:665,_RowCard onTap,existing,code,,code-verified,drilldown 보존 필수
STAT-09,Statistics,,both,empty/error,pull-to-refresh / '다시 시도',lib/screens/statistics_screen.dart:603,_StatsTable,existing,code,,code-verified,
MAP-01,ReportMap,,both,AppBar '신고 지도',list icon -> missing-address sheet; refresh -> _loadMap; settings -> Settings then reload,lib/screens/report_map_screen.dart:329,AppBar actions,existing,code,,code-verified,지도 기능 변경은 범위 밖 (테마만)
MAP-02,ReportMap,,both,'지도 필터' year dropdown + chips 전체/교통/주정차/기타,change -> _loadMap,lib/screens/report_map_screen.dart:385,_buildFilterBar/_categoryChip,existing,code,,code-verified,
MAP-03,ReportMap,,both,n/a,standalone LocalGeocodeService backfill (Kakao key) + computeReportMapStats vs client getReportMapStats/getReportMapProgress; 1s polling,lib/screens/report_map_screen.dart:98,_loadMap/_syncProgressPolling,existing,code,test/services/local_db_service_regression_test.dart,code-verified,
MAP-04,ReportMap,,both,progress card state/bar/진행률/성공·미발견·남은 대상/error,standalone + requiresConfiguration: '모바일 설정 열기' -> Settings,lib/screens/report_map_screen.dart:642,_buildProgressCard,existing,code,,code-verified,
MAP-05,ReportMap,,both,summary 전체/좌표화/미변환/처리기관 곳,none,lib/screens/report_map_screen.dart:786,_buildMetaSummary,existing,code,,code-verified,
MAP-06,ReportMap,,both,OSM FlutterMap + cluster markers (totals/region) + current location marker,pan/zoom (no rotate),lib/screens/report_map_screen.dart:892,_buildMap,existing,code,,code-verified,
MAP-07,ReportMap,,both,point sheet: title/total/행정구역/담당 기관/처리상태·처분·신고 종류 비중,marker tap -> sheet; '리스트 보기' -> setFilter(location) + ReportListScreen(tab),lib/screens/report_map_screen.dart:1059,_showPointBottomSheet/_openAddressReportList,existing,code,,code-verified,
MAP-08,ReportMap,,both,'묶음 신고 지점' aggregate sheet (no list button),cluster tap -> sheet (plus zoomToBoundsOnClick),lib/screens/report_map_screen.dart:964,_showClusterBottomSheet,existing,code,,code-verified,
MAP-09,ReportMap,,both,FAB my_location / location_disabled,tap -> permission + locate + move camera; SnackBar '설정' actions,lib/screens/report_map_screen.dart:997,_buildCurrentLocationButton,existing,code,,code-verified,
MAP-10,ReportMap,,both,'미변환 주소 목록' counts; ExpansionTile per address with count pill; ReportListCards,card tap -> detail (long-press no-op),lib/screens/report_map_screen.dart:464,_showMissingAddressSheet,existing,code,,code-verified,
NOTI-01,Notifications,,both,AppBar '알림 기록','모두 읽음' -> markAllRead; delete_sweep -> confirm '알림 기록 삭제' -> clearAll,lib/screens/notifications_screen.dart:432,AppBar actions,existing,code,,code-verified,알림 기록 삭제는 기존 기능(신고 삭제 아님)
NOTI-02,Notifications,,both,subtabs 크롤링 현황/신고 결과/별점 주기 with red unread badges,tab switch synced to preferredTabIndex,lib/screens/notifications_screen.dart:450,_tabWithBadge,existing,code,,code-verified,"SrTabBar 로 교체, 미읽음 배지 유지"
NOTI-03,Notifications,,client,n/a,init/resume/refresh -> getCrawlDone -> fetchCrawlResults -> addFromServerResults + native notification (nav_tab 4 nav_subtab 1),lib/screens/notifications_screen.dart:80,_fetchServerResults,existing,code,,code-verified,returns early in standalone
NOTI-04,Notifications,크롤링 현황,both,tile unread dot/icon/title/body/신고번호/timestamp,tap -> markRead + generic sheet; '신고 결과 보기' (when changes) -> subtab 1,lib/screens/notifications_screen.dart:167,_showDetail/_NotifTile,existing,code,,code-verified,
NOTI-05,Notifications,신고 결과,both,tile + status chip + fine chip (indigo for duplicates),tap -> markRead + showReportDetailSheet or showDuplicateGroupDetailSheet,lib/screens/notifications_screen.dart:148,_showDetail,existing,code,,code-verified,
NOTI-06,Notifications,별점 주기,both,batch tile title/time/body/성공·스킵·실패/목표 점/실패 신고번호,tap -> sheet (counts/목표/선택·실행 건수/실행 모드/완료 시각/items); item tap -> report detail,lib/screens/notifications_screen.dart:234,_showRatingDetail/_RatingBatchTile/_RatingReportCard,existing,code,,code-verified,
NOTI-07,Notifications,all,both,empty states per tab,pull-to-refresh -> history.load + _fetchServerResults,lib/screens/notifications_screen.dart:511,_refresh,existing,code,,code-verified,no per-item swipe/delete/long-press (verified absent)
FILE-01,FileBrowser,,client,'파일 브라우저'; server tree (lazy dir expand; name desc),tap folder -> expand (api.getFiles); pull-to-refresh _loadServer(''),lib/screens/file_browser_screen.dart:1098,_TreeNode,existing,code,,code-verified,(D-06) 진입: 설정 > 데이터 관리 > 파일 관리 (이전 하단 파일 탭). 화면 기능 동일
FILE-02,FileBrowser,,client,details sheet 경로/크기/수정일,file tap -> sheet; '다운로드' -> api.downloadFile -> save downloads/ -> OpenFilex (share fallback),lib/screens/file_browser_screen.dart:714,_showServerFileDetails/_downloadServerItems,existing,code,,code-verified,
FILE-03,FileBrowser,,client,selection AppBar,long-press select; download (multi = zip archive); delete -> confirm -> api.deleteFiles (SERVER file deletion),lib/screens/file_browser_screen.dart:1052,_downloadSelectedServerFiles/_deleteSelectedServerFiles,existing,code,,code-verified,서버 파일 삭제 = 기존 기능(신고 레코드 삭제 아님)
FILE-04,FileBrowser,,standalone,'현재 위치' path card; '상위 폴더로 이동'; folders,folder tap -> navigate,lib/screens/file_browser_screen.dart:842,_buildLocalPathCard/_buildLocalEntry,existing,code,,code-verified,(D-06) 진입: 설정 > 데이터 관리 > 파일 관리 (이전 하단 파일 탭). 화면 기능 동일
